Case_Key__c,Subject,Description,Asset_Key__c,Origin,Status,Safety_Flag__c,CreatedDate
CS-00047,Operator reports unusual vibration on Scrubber 014 during routine rounds.,Operator reports unusual vibration on Scrubber 014 during routine rounds.,AST-0014,Web,New,FALSE,2026-08-13T05:22:02
CS-00066,Corrosion visible on Pump 019 housing,"Corrosion visible on Pump 019 housing, requesting assessment.",AST-0019,Email,New,FALSE,2026-08-22T01:22:02
CS-00036,Outlet temperature on Heat Exchanger 020 has drifted 8 degrees above normal over,Outlet temperature on Heat Exchanger 020 has drifted 8 degrees above normal over 3 shifts.,AST-0020,Email,New,FALSE,2026-08-29T18:22:02
CS-00089,Routine PM overdue on Scrubber 013,"Routine PM overdue on Scrubber 013, requesting inspection window.",AST-0013,Phone,New,FALSE,2026-08-06T04:22:02
CS-00045,Intermittent trip on Heat Exchanger 012,"Intermittent trip on Heat Exchanger 012, resets on its own after a few minutes.",AST-0012,Mobile Field App,New,FALSE,2026-08-16T16:22:02
CS-00002,Differential pressure trending up on Compressor 015 over the past week.,Differential pressure trending up on Compressor 015 over the past week.,AST-0015,Web,New,FALSE,2026-08-29T13:22:02
CS-00029,Routine PM overdue on Valve 001,"Routine PM overdue on Valve 001, requesting inspection window.",AST-0001,Phone,New,FALSE,2026-09-02T22:22:02
CS-00059,Intermittent trip on Valve 001,"Intermittent trip on Valve 001, resets on its own after a few minutes.",AST-0001,Web,New,FALSE,2026-08-25T02:22:02
CS-00052,Noise complaint from operators near Scrubber 013,"Noise complaint from operators near Scrubber 013, unclear source.",AST-0013,Email,New,FALSE,2026-08-09T13:22:02
CS-00072,Differential pressure trending up on Heat Exchanger 020 over the past week.,Differential pressure trending up on Heat Exchanger 020 over the past week.,AST-0020,Mobile Field App,New,FALSE,2026-08-22T19:22:02
CS-00081,Outlet temperature on Valve 025 has drifted 8 degrees above normal over 3 shifts,Outlet temperature on Valve 025 has drifted 8 degrees above normal over 3 shifts.,AST-0025,Email,New,FALSE,2026-08-11T23:22:02
CS-00054,Intermittent trip on Scrubber 013,"Intermittent trip on Scrubber 013, resets on its own after a few minutes.",AST-0013,Email,New,FALSE,2026-08-06T15:22:02
CS-00053,Recurring high-high alarm on Valve 025,"Recurring high-high alarm on Valve 025, unclear if real or instrument fault.",AST-0025,Email,New,FALSE,2026-08-15T23:22:02
CS-00085,Level indication on Heat Exchanger 008 disagrees with local gauge glass.,Level indication on Heat Exchanger 008 disagrees with local gauge glass.,AST-0008,Web,New,FALSE,2026-08-14T09:22:02
CS-00025,Corrosion visible on Heat Exchanger 008 housing,"Corrosion visible on Heat Exchanger 008 housing, requesting assessment.",AST-0008,Phone,New,FALSE,2026-08-17T13:22:02
CS-00098,Pressure relief valve on Valve 011 audibly chattering,"Pressure relief valve on Valve 011 audibly chattering, high concern.",AST-0011,Mobile Field App,New,FALSE,2026-08-28T02:22:02
CS-00088,Corrosion visible on Scrubber 013 housing,"Corrosion visible on Scrubber 013 housing, requesting assessment.",AST-0013,Phone,New,FALSE,2026-08-08T21:22:02
CS-00064,Corrosion visible on Sensor/Transmitter 006 housing,"Corrosion visible on Sensor/Transmitter 006 housing, requesting assessment.",AST-0006,Email,New,FALSE,2026-08-23T22:22:02
CS-00050,Outlet temperature on Heat Exchanger 008 has drifted 8 degrees above normal over,Outlet temperature on Heat Exchanger 008 has drifted 8 degrees above normal over 3 shifts.,AST-0008,Mobile Field App,New,FALSE,2026-08-25T06:22:02
CS-00011,Noise complaint from operators near Compressor 024,"Noise complaint from operators near Compressor 024, unclear source.",AST-0024,Phone,New,FALSE,2026-08-29T09:22:02
CS-00013,Recurring high-high alarm on Sensor/Transmitter 006,"Recurring high-high alarm on Sensor/Transmitter 006, unclear if real or instrument fault.",AST-0006,Mobile Field App,New,FALSE,2026-08-29T13:22:02
CS-00091,H2S alarm activated in the vicinity of Compressor 024.,H2S alarm activated in the vicinity of Compressor 024.,AST-0024,Web,New,FALSE,2026-08-21T08:22:02
CS-00019,Intermittent trip on Scrubber 023,"Intermittent trip on Scrubber 023, resets on its own after a few minutes.",AST-0023,Mobile Field App,New,FALSE,2026-09-01T09:22:02
CS-00069,Corrosion visible on Heat Exchanger 021 housing,"Corrosion visible on Heat Exchanger 021 housing, requesting assessment.",AST-0021,Email,New,FALSE,2026-09-03T08:22:02
CS-00062,Level indication on Valve 011 disagrees with local gauge glass.,Level indication on Valve 011 disagrees with local gauge glass.,AST-0011,Email,New,FALSE,2026-08-19T11:22:02
CS-00077,Routine PM overdue on Heat Exchanger 004,"Routine PM overdue on Heat Exchanger 004, requesting inspection window.",AST-0004,Web,New,FALSE,2026-08-11T01:22:02
CS-00100,Strong chemical odor reported near Heat Exchanger 018,"Strong chemical odor reported near Heat Exchanger 018, operators pulled back as precaution.",AST-0018,Email,New,FALSE,2026-08-28T19:22:02
CS-00083,Recurring high-high alarm on Scrubber 023,"Recurring high-high alarm on Scrubber 023, unclear if real or instrument fault.",AST-0023,Web,New,FALSE,2026-08-28T05:22:02
CS-00071,Operator reports unusual vibration on Heat Exchanger 005 during routine rounds.,Operator reports unusual vibration on Heat Exchanger 005 during routine rounds.,AST-0005,Phone,New,FALSE,2026-08-29T00:22:02
CS-00008,Outlet temperature on Scrubber 014 has drifted 8 degrees above normal over 3 shi,Outlet temperature on Scrubber 014 has drifted 8 degrees above normal over 3 shifts.,AST-0014,Phone,New,FALSE,2026-09-01T18:22:02
CS-00065,Recurring high-high alarm on Valve 001,"Recurring high-high alarm on Valve 001, unclear if real or instrument fault.",AST-0001,Email,New,FALSE,2026-08-30T02:22:02
CS-00076,Routine PM overdue on Heat Exchanger 017,"Routine PM overdue on Heat Exchanger 017, requesting inspection window.",AST-0017,Phone,New,FALSE,2026-08-19T08:22:02
CS-00038,Level indication on Valve 003 disagrees with local gauge glass.,Level indication on Valve 003 disagrees with local gauge glass.,AST-0003,Email,New,FALSE,2026-09-04T15:22:02
CS-00044,Outlet temperature on Heat Exchanger 012 has drifted 8 degrees above normal over,Outlet temperature on Heat Exchanger 012 has drifted 8 degrees above normal over 3 shifts.,AST-0012,Web,New,FALSE,2026-08-15T12:22:02
CS-00056,Differential pressure trending up on Reactor 002 over the past week.,Differential pressure trending up on Reactor 002 over the past week.,AST-0002,Mobile Field App,New,FALSE,2026-08-24T16:22:02
CS-00090,Level indication on Pump 010 disagrees with local gauge glass.,Level indication on Pump 010 disagrees with local gauge glass.,AST-0010,Mobile Field App,New,FALSE,2026-08-18T16:22:02
CS-00058,Recurring high-high alarm on Reactor 007,"Recurring high-high alarm on Reactor 007, unclear if real or instrument fault.",AST-0007,Phone,New,FALSE,2026-08-14T02:22:02
CS-00018,Recurring high-high alarm on Scrubber 013,"Recurring high-high alarm on Scrubber 013, unclear if real or instrument fault.",AST-0013,Mobile Field App,New,FALSE,2026-08-27T02:22:02
CS-00034,Minor leak observed at Heat Exchanger 004 packing gland,"Minor leak observed at Heat Exchanger 004 packing gland, no visible spray.",AST-0004,Email,New,FALSE,2026-09-02T12:22:02
CS-00012,Intermittent trip on Reactor 007,"Intermittent trip on Reactor 007, resets on its own after a few minutes.",AST-0007,Mobile Field App,New,FALSE,2026-09-01T02:22:02
CS-00046,Outlet temperature on Heat Exchanger 005 has drifted 8 degrees above normal over,Outlet temperature on Heat Exchanger 005 has drifted 8 degrees above normal over 3 shifts.,AST-0005,Web,New,FALSE,2026-08-11T10:22:02
CS-00068,Differential pressure trending up on Sensor/Transmitter 006 over the past week.,Differential pressure trending up on Sensor/Transmitter 006 over the past week.,AST-0006,Email,New,FALSE,2026-08-19T18:22:02
CS-00030,Intermittent trip on Reactor 007,"Intermittent trip on Reactor 007, resets on its own after a few minutes.",AST-0007,Email,New,FALSE,2026-09-01T04:22:02
CS-00041,Differential pressure trending up on Heat Exchanger 004 over the past week.,Differential pressure trending up on Heat Exchanger 004 over the past week.,AST-0004,Web,New,FALSE,2026-08-19T14:22:02
CS-00055,Recurring high-high alarm on Heat Exchanger 004,"Recurring high-high alarm on Heat Exchanger 004, unclear if real or instrument fault.",AST-0004,Web,New,FALSE,2026-08-18T07:22:02
CS-00057,Level indication on Valve 011 disagrees with local gauge glass.,Level indication on Valve 011 disagrees with local gauge glass.,AST-0011,Phone,New,FALSE,2026-08-23T21:22:02
CS-00007,Corrosion visible on Compressor 024 housing,"Corrosion visible on Compressor 024 housing, requesting assessment.",AST-0024,Mobile Field App,New,FALSE,2026-08-29T00:22:02
CS-00067,Outlet temperature on Compressor 015 has drifted 8 degrees above normal over 3 s,Outlet temperature on Compressor 015 has drifted 8 degrees above normal over 3 shifts.,AST-0015,Mobile Field App,New,FALSE,2026-08-10T16:22:02
CS-00027,Noise complaint from operators near Reactor 007,"Noise complaint from operators near Reactor 007, unclear source.",AST-0007,Web,New,FALSE,2026-08-28T03:22:02
CS-00001,Level indication on Pump 010 disagrees with local gauge glass.,Level indication on Pump 010 disagrees with local gauge glass.,AST-0010,Email,New,FALSE,2026-08-21T23:22:02
CS-00092,Loss of caustic feed to Storage Tank 009,"Loss of caustic feed to Storage Tank 009, downstream pH dropping fast.",AST-0009,Mobile Field App,New,FALSE,2026-09-05T03:22:02
CS-00042,Corrosion visible on Heat Exchanger 012 housing,"Corrosion visible on Heat Exchanger 012 housing, requesting assessment.",AST-0012,Web,New,FALSE,2026-08-23T11:22:02
